Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
almacena_datos_servicio.Val_mensaje_serv.guarda_salida_consultar_factura(),,,,2022-08-30 16:20:11,2022-08-30 16:20:11,"0,240s",PASSED
,,,,,,,
Test Cases/ConsultarConsolidado_Factura,,,,2022-08-30 16:20:11,2022-08-30 16:20:13,"1,529s",PASSED
grabar = new almacena_datos_servicio.Graba_archivo(),,,,2022-08-30 16:20:11,2022-08-30 16:20:11,"0,001s",PASSED
regis = Integer.parseInt(registro),,,,2022-08-30 16:20:11,2022-08-30 16:20:11,"0,001s",PASSED
"response = sendRequestAndVerify(findTestObject(""miFactura_Mareigua-ConsultarFactura/ConsultarConsolidado_Factura"", [""TipoIdentificacion"":TipoIdentificacion, ""NumeroIdentificacion"":NumeroIdentificacion, ""token"":token]))",,,,2022-08-30 16:20:11,2022-08-30 16:20:13,"1,108s",PASSED
val_time = response.getElapsedTime(),,,,2022-08-30 16:20:13,2022-08-30 16:20:13,"0,004s",PASSED
status = response.getStatusCode(),,,,2022-08-30 16:20:13,2022-08-30 16:20:13,"0,001s",PASSED
jsonString = response.getResponseText(),,,,2022-08-30 16:20:13,2022-08-30 16:20:13,"0,002s",PASSED
"salida_json = jsonString.replaceAll(""
"", """")",,,,2022-08-30 16:20:13,2022-08-30 16:20:13,"0,002s",PASSED
slurper = new groovy.json.JsonSlurper(),,,,2022-08-30 16:20:13,2022-08-30 16:20:13,"0,003s",PASSED
